loaded webppl-oed [v0.0.1-84e993f]
loaded underscore [v1.8.3-84e993f]
loaded webppl [v0.8.1-84e993f]
skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
1	0.05263157894736844	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	1	0.05263157894736844	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are bright and not on. What proportion are hot? in [0, 1]	0.28569120598051667	0.9	-10.203242493181008
1	0.04768260529336394	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	2	0.10866413731463337	[{"bright":["on"],"hot":["bright"],"on":[]}]	Imagine 100 lightbulbs that are not bright and on. What proportion are hot? in [0, 1]	0.31881848147883846	0.999999	-10.203242493181008
1	0.10899313143353047	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	3	0.24838501435854357	[{"bright":[],"hot":["bright","on"],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.29074915696448067	0.9	-10.203242493181008
1	0.29298759534579055	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	4	0.29298759534579055	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.2935984063625613	0.7000000000000001	-10.203242493181008
1	0.37584467029925206	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	5	0.37584467029925206	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot and on. What proportion are bright? in [0, 1]	0.25059391194339403	0.9	-10.203242493181008
1	0.47970752492810115	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	6	0.47970752492810115	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are on. What proportion are hot? in [0, 1]	0.2076169713245579	0.999999	-10.203242493181008
1	0.601071712307517	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	7	0.601071712307517	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are on. What proportion are bright? in [0, 1]	0.18615778656751814	0.9	-10.203242493181008
1	0.6642394096432493	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	8	0.6642394096432493	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright. What proportion are hot? in [0, 1]	0.15983791052530946	0.9	-10.203242493181008
1	0.757709246732531	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	9	0.757709246732531	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot. What proportion are bright? in [0, 1]	0.0965879727805021	0.8	-10.203242493181008
1	0.812311962089093	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	10	0.812311962089093	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not hot. What proportion are bright? in [0, 1]	0.0671435088054459	0.7000000000000001	-10.203242493181008
1	0.8474685533243982	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	11	0.8474685533243982	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright and on. What proportion are hot? in [0, 1]	0.06364904983062017	0.999999	-10.203242493181008
1	0.8635764519383992	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	12	0.8635764519383992	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright. What proportion are on? in [0, 1]	0.04241669807429345	0.000001	-10.203242493181008
1	0.9380353190594133	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	13	0.9380353190594133	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright. What proportion are hot? in [0, 1]	0.022389267515209664	0.9	-10.203242493181008
