subj	domain	jpd	trial	pMax	pMaxLL	mMax	xText	xType	xA	xCond	EIG	y	yRaw	alternate	repeat
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	1	0.05263157894736844	-2.9444389791664403	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are bright and not on. What proportion are hot? in [0, 1]	conditional	hot	{"bright":true,"on":false}		0.5	0.5	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	2	0.07745664476966048	-2.5580369214848493	[{"bright":[],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	conditional	bright	{"hot":true,"on":false}		0.5	0.5	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	3	0.11503872615266801	-2.1624864581525225	[{"bright":[],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and on. What proportion are hot? in [0, 1]	conditional	hot	{"bright":false,"on":true}		0.5	0.5	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	4	0.17660584958068648	-1.7338348680273974	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not bright and hot. What proportion are on? in [0, 1]	conditional	on	{"bright":false,"hot":true}		0.5	0.5	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	5	0.2627001866853967	-1.3367418716498727	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are bright and hot. What proportion are on? in [0, 1]	conditional	on	{"bright":true,"hot":true}		0.999999	0.999999000001	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	6	0.24235520913691105	-1.4173508226493716	[{"bright":[],"hot":[],"on":["bright"]}]	Imagine 100 lightbulbs that are bright and not hot. What proportion are on? in [0, 1]	conditional	on	{"bright":true,"hot":false}		0.5	0.5	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	7	0.34614661660162044	-1.0608928462764615	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	conditional	bright	{"hot":false,"on":true}		0.5	0.5	false	false
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	8	0.3194062607235879	-1.141291441879281	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are bright and hot. What proportion are on? in [0, 1]	conditional	on	{"bright":true,"hot":true}		0.999999		false	true
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	9	0.16582575356234044	-1.7968177192579695	[{"bright":[],"hot":["on"],"on":["bright"]}]	Imagine 100 lightbulbs that are bright and not hot. What proportion are on? in [0, 1]	conditional	on	{"bright":true,"hot":false}		0.5		false	true
s0	lightbulb	[[[false,false,false],9.999930000489996e-7],[[false,false,true],9.999930000489996e-7],[[false,true,false],9.999930000489996e-7],[[false,true,true],9.999930000489996e-7],[[true,false,false],9.999930000489996e-7],[[true,false,true],9.999930000489996e-7],[[true,true,false],9.999930000489996e-7],[[true,true,true],0.9999930000489994]]	10	0.19994674666630088	-1.6097042145578593	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	conditional	bright	{"hot":false,"on":true}		0.5		false	true
