t1,t2,t3,eig
FFFF,FFFF,FFFF,0.9779
FFFF,FFFF,FFFT,1.0049
FFFF,FFFF,FFTF,1.0049
FFFF,FFFF,FFTT,0.9636
FFFF,FFFF,FTFF,1.0049
FFFF,FFFF,FTFT,1.0177
FFFF,FFFF,FTTF,0.9636
FFFF,FFFF,FTTT,0.9393
FFFF,FFFF,TFFF,0.9393
FFFF,FFFF,TFFT,0.9636
FFFF,FFFF,TFTF,1.0177
FFFF,FFFF,TFTT,1.0049
FFFF,FFFF,TTFF,0.9636
FFFF,FFFF,TTFT,1.0049
FFFF,FFFF,TTTF,1.0049
FFFF,FFFF,TTTT,0.9779
FFFF,FFFT,FFFF,1.0049
FFFF,FFFT,FFFT,0.9669
FFFF,FFFT,FFTF,0.9669
FFFF,FFFT,FFTT,0.9616
FFFF,FFFT,FTFF,0.9669
FFFF,FFFT,FTFT,0.9815
FFFF,FFFT,FTTF,0.9616
FFFF,FFFT,FTTT,0.9627
FFFF,FFFT,TFFF,0.9627
FFFF,FFFT,TFFT,0.9616
FFFF,FFFT,TFTF,0.9815
FFFF,FFFT,TFTT,0.9669
FFFF,FFFT,TTFF,0.9616
FFFF,FFFT,TTFT,0.9669
FFFF,FFFT,TTTF,0.9669
FFFF,FFFT,TTTT,1.0049
FFFF,FFTF,FFFF,1.0049
FFFF,FFTF,FFFT,0.9669
FFFF,FFTF,FFTF,0.9669
FFFF,FFTF,FFTT,0.9616
FFFF,FFTF,FTFF,0.9669
FFFF,FFTF,FTFT,0.9815
FFFF,FFTF,FTTF,0.9616
FFFF,FFTF,FTTT,0.9627
FFFF,FFTF,TFFF,0.9627
FFFF,FFTF,TFFT,0.9616
FFFF,FFTF,TFTF,0.9815
FFFF,FFTF,TFTT,0.9669
FFFF,FFTF,TTFF,0.9616
FFFF,FFTF,TTFT,0.9669
FFFF,FFTF,TTTF,0.9669
FFFF,FFTF,TTTT,1.0049
FFFF,FFTT,FFFF,0.9636
FFFF,FFTT,FFFT,0.9616
FFFF,FFTT,FFTF,0.9616
FFFF,FFTT,FFTT,0.9082
FFFF,FFTT,FTFF,0.9616
FFFF,FFTT,FTFT,0.9776
FFFF,FFTT,FTTF,0.9082
FFFF,FFTT,FTTT,0.9016
FFFF,FFTT,TFFF,0.9016
FFFF,FFTT,TFFT,0.9082
FFFF,FFTT,TFTF,0.9776
FFFF,FFTT,TFTT,0.9616
FFFF,FFTT,TTFF,0.9082
FFFF,FFTT,TTFT,0.9616
FFFF,FFTT,TTTF,0.9616
FFFF,FFTT,TTTT,0.9636
FFFF,FTFF,FFFF,1.0049
FFFF,FTFF,FFFT,0.9669
FFFF,FTFF,FFTF,0.9669
FFFF,FTFF,FFTT,0.9616
FFFF,FTFF,FTFF,0.9669
FFFF,FTFF,FTFT,0.9815
FFFF,FTFF,FTTF,0.9616
FFFF,FTFF,FTTT,0.9627
FFFF,FTFF,TFFF,0.9627
FFFF,FTFF,TFFT,0.9616
FFFF,FTFF,TFTF,0.9815
FFFF,FTFF,TFTT,0.9669
FFFF,FTFF,TTFF,0.9616
FFFF,FTFF,TTFT,0.9669
FFFF,FTFF,TTTF,0.9669
FFFF,FTFF,TTTT,1.0049
FFFF,FTFT,FFFF,1.0177
FFFF,FTFT,FFFT,0.9815
FFFF,FTFT,FFTF,0.9815
FFFF,FTFT,FFTT,0.9776
FFFF,FTFT,FTFF,0.9815
FFFF,FTFT,FTFT,0.9905
FFFF,FTFT,FTTF,0.9776
FFFF,FTFT,FTTT,0.9803
FFFF,FTFT,TFFF,0.9803
FFFF,FTFT,TFFT,0.9776
FFFF,FTFT,TFTF,0.9905
FFFF,FTFT,TFTT,0.9815
FFFF,FTFT,TTFF,0.9776
FFFF,FTFT,TTFT,0.9815
FFFF,FTFT,TTTF,0.9815
FFFF,FTFT,TTTT,1.0177
FFFF,FTTF,FFFF,0.9636
FFFF,FTTF,FFFT,0.9616
FFFF,FTTF,FFTF,0.9616
FFFF,FTTF,FFTT,0.9082
FFFF,FTTF,FTFF,0.9616
FFFF,FTTF,FTFT,0.9776
FFFF,FTTF,FTTF,0.9082
FFFF,FTTF,FTTT,0.9016
FFFF,FTTF,TFFF,0.9016
FFFF,FTTF,TFFT,0.9082
FFFF,FTTF,TFTF,0.9776
FFFF,FTTF,TFTT,0.9616
FFFF,FTTF,TTFF,0.9082
FFFF,FTTF,TTFT,0.9616
FFFF,FTTF,TTTF,0.9616
FFFF,FTTF,TTTT,0.9636
FFFF,FTTT,FFFF,0.9393
FFFF,FTTT,FFFT,0.9627
FFFF,FTTT,FFTF,0.9627
FFFF,FTTT,FFTT,0.9016
FFFF,FTTT,FTFF,0.9627
FFFF,FTTT,FTFT,0.9803
FFFF,FTTT,FTTF,0.9016
FFFF,FTTT,FTTT,0.8721
FFFF,FTTT,TFFF,0.8721
FFFF,FTTT,TFFT,0.9016
FFFF,FTTT,TFTF,0.9803
FFFF,FTTT,TFTT,0.9627
FFFF,FTTT,TTFF,0.9016
FFFF,FTTT,TTFT,0.9627
FFFF,FTTT,TTTF,0.9627
FFFF,FTTT,TTTT,0.9393
FFFF,TFFF,FFFF,0.9393
FFFF,TFFF,FFFT,0.9627
FFFF,TFFF,FFTF,0.9627
FFFF,TFFF,FFTT,0.9016
FFFF,TFFF,FTFF,0.9627
FFFF,TFFF,FTFT,0.9803
FFFF,TFFF,FTTF,0.9016
FFFF,TFFF,FTTT,0.8721
FFFF,TFFF,TFFF,0.8721
FFFF,TFFF,TFFT,0.9016
FFFF,TFFF,TFTF,0.9803
FFFF,TFFF,TFTT,0.9627
FFFF,TFFF,TTFF,0.9016
FFFF,TFFF,TTFT,0.9627
FFFF,TFFF,TTTF,0.9627
FFFF,TFFF,TTTT,0.9393
FFFF,TFFT,FFFF,0.9636
FFFF,TFFT,FFFT,0.9616
FFFF,TFFT,FFTF,0.9616
FFFF,TFFT,FFTT,0.9082
FFFF,TFFT,FTFF,0.9616
FFFF,TFFT,FTFT,0.9776
FFFF,TFFT,FTTF,0.9082
FFFF,TFFT,FTTT,0.9016
FFFF,TFFT,TFFF,0.9016
FFFF,TFFT,TFFT,0.9082
FFFF,TFFT,TFTF,0.9776
FFFF,TFFT,TFTT,0.9616
FFFF,TFFT,TTFF,0.9082
FFFF,TFFT,TTFT,0.9616
FFFF,TFFT,TTTF,0.9616
FFFF,TFFT,TTTT,0.9636
FFFF,TFTF,FFFF,1.0177
FFFF,TFTF,FFFT,0.9815
FFFF,TFTF,FFTF,0.9815
FFFF,TFTF,FFTT,0.9776
FFFF,TFTF,FTFF,0.9815
FFFF,TFTF,FTFT,0.9905
FFFF,TFTF,FTTF,0.9776
FFFF,TFTF,FTTT,0.9803
FFFF,TFTF,TFFF,0.9803
FFFF,TFTF,TFFT,0.9776
FFFF,TFTF,TFTF,0.9905
FFFF,TFTF,TFTT,0.9815
FFFF,TFTF,TTFF,0.9776
FFFF,TFTF,TTFT,0.9815
FFFF,TFTF,TTTF,0.9815
